	#	St	MLS #	PST	Area	Address	City	BR	FB	HB	A/D	Pool	Liv Sqft	Yr Built	Acres	Sale Ty	Price	$/Sqft	DOM	CDOM											
	63	C	845815	SF	27	12546 Brookside Street	Spring Hill	2	2	0	2,0	Yes	1,434	1987	0.19	ARMS	$240,000	$167.36	54	54											
	64	C	850228	SF	27	2075 Quailwood Lane	Spring Hill	2	2	0	2,0	No	2,038	1996	0.18	ARMS	$241,000	$118.25	82	82											
	65	C	851996	SF	27	6497 Pine Meadows Drive	Spring Hill	2	2	0	2,0	No	1,640	1986	0.16	ARMS	$242,900	$148.11	66	66											
	66	C	849208	SF	27	5100 Mentmore Avenue	Spring Hill	2	2	0	2,0	Yes	1,023	2000	0.23	ARMS	$245,000	$239.49	5	5											
	67	C	846921	SF	27	6766 Treehaven Drive	Spring Hill	2	2	0	1,0	Yes	1,236	1971	0.21	ARMS	$245,000	$198.22	53	53											
	68	C	855329	SF	27	5525 Applegate Drive	Spring Hill	2	2	0	1,0	No	1,322	1988	0.23	ARMS	$250,000	$189.11	21	21											
	69	C	851220	SF	27	11196 Redgate Street	Spring Hill	2	2	0	1,0	Yes	1,600	1979	0.22	ARMS	$250,000	$156.25	32	32											
	70	C	848728	SF	27	3213 Appleblossom Trail	Spring Hill	2	2	1	2,0	No	1,518	1993	0.12	ARMS	$250,000	$164.69	45	45											
	71	C	846442	SF	27	6360 Skyline Court	Spring Hill	2	1	0	0,0	Yes	1,000	1970	0.17	ARMS	$250,000	$250.00	47	47											
	72	C	855414	SF	27	6761 Pearleaf Court	Spring Hill	2	2	0	1,0	No	1,204	1985	0.18	ARMS	$252,000	$209.30	8	8											
	73	C	849947	SF	27	4533 Lakeshore Avenue	Spring Hill	3	2	0	2,0	No	1,160	1978	0.35	ARMS	$252,500	$217.67	88	88											
	74	C	849696	SF	27	2489 Amherst Avenue	Spring Hill	3	2	0	2,0	Yes	1,703	1987	0.23	ARMS	$255,000	$149.74	58	58											
	75	C	848911	SF	27	4228 Augustine Road	Spring Hill	3	2	0	2,0	No	1,534	1999	0.24	ARMS	$255,000	$166.23	200	200											
	76	C	847365	SF	27	7235 Anhinga Court	Spring Hill	2	2	0	2,0	No	1,456	1991	0.25	ARMS	$255,000	$175.14	8	8											
	77	C	848870	SF	27	195 Hartford Court	Spring Hill	2	2	0	2,0	No	1,280	2005	0.14	ARMS	$255,900	$199.92	26	26											
	78	C	850719	SF	27	3008 Whispering Pines Court	Spring Hill	2	2	0	2,0	No	1,366	1991	0.08	ARMS	$256,000	$187.41	13	13											
	79	C	850135	SF	27	7420 Tranquil Drive	Spring Hill	2	2	0	2,0	No	1,280	1979	0.30	ARMS	$259,900	$203.05	7	7											
	80	C	849782	SF	27	3031 Stanton Avenue	Spring Hill	2	2	0	2,0	Yes	1,498	1987	0.22	ARMS	$260,000	$173.56	37	37											
	81	C	847241	SF	27	8476 Eldridge Road	Spring Hill	2	2	0	2,0	No	1,528	1985	0.30	ARMS	$260,000	$170.16	201	201											
	82	C	851538	SF	27	7437 Nature Walk Drive	Spring Hill	2	2	0	2,0	No	1,298	1997	0.09	ARMS	$264,000	$203.39	3	3											
	83	C	847929	Mob	30	17511 Carthage Avenue	Spring Hill	2	2	0	0,0	No	1,008	1990	1.05	ARMS	$264,000	$261.90	25	25											
	84	C	852804	SF	27	8178 Pinehurst Drive	Spring Hill	3	2	0	2,0	No	1,551	2000	0.29	ARMS	$265,000	$170.86	32	32											
	85	C	854263	SF	27	8081 Pagoda Drive	Spring Hill	3	2	0	2,0	No	1,632	1986	0.23	ARMS	$267,000	$163.60	3	3											
	86	C	846836	SF	27	7492 Aloe Drive	Spring Hill	3	2	0	2,0	No	2,325	1997	0.31	ARMS	$270,000	$116.13	209	209											
	87	C	855542	SF	27	10170 Northcliffe Boulevard	Spring Hill	3	2	0	1,0	Yes	1,356	1978	0.24	ARMS	$280,000	$206.49	4	4											
